Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
107400 | 51704 | 17824
107500 | 55369 | 12333
107600 | 52595 | 12548
107700 | 53221 | 10940
107800 | 51289 | 10863
107900 | 50655 | 12355
108000 | 52805 | 11586
108100 | 51388 | 11867
108200 | 50645 | 11109
108300 | 52803 | 11728
108400 | 51058 | 16670
108500 | 56272 | 15025
108600 | 52677 | 12282
108700 | 52706 | 11464
108800 | 54295 | 12507
108900 | 52429 | 12463
109000 | 52510 | 14274
109100 | 52892 | 12433
109200 | 52749 | 11242
109300 | 53238 | 12837
109400 | 51716 | 17325
109500 | 54924 | 22484
109600 | 53783 | 12783
109700 | 52057 | 12105
109800 | 56036 | 13093
109900 | 50399 | 12255
110000 | 51715 | 11303
110100 | 53157 | 8420
110200 | 52909 | 8231
110300 | 51355 | 7348
110400 | 51880 | 7693
110500 | 54100 | 17651
110600 | 55030 | 16249
110700 | 53011 | 12528
110800 | 54818 | 12008
110900 | 53359 | 11665
111000 | 52757 | 10993
111100 | 53365 | 11499
111200 | 54788 | 11032
111300 | 51005 | 11994
111400 | 53686 | 17662
111500 | 54830 | 21087
111600 | 57133 | 16082
111700 | 53181 | 13139
111800 | 53607 | 12060
111900 | 52418 | 12862
112000 | 53470 | 12439
112100 | 53149 | 12555
112200 | 53805 | 20257
112300 | 58509 | 16163
112400 | 54269 | 13465
112500 | 52674 | 12255
112600 | 54073 | 12717
112700 | 53202 | 12298
112800 | 55876 | 14173
112900 | 55545 | 14361
113000 | 54515 | 12316
113100 | 55000 | 13000
113200 | 54456 | 12300
113300 | 53945 | 11093
113400 | 53887 | 12427
113500 | 54430 | 17565
113600 | 56918 | 17673
113700 | 54948 | 14284
113800 | 55005 | 12779
113900 | 52699 | 12561
114000 | 54217 | 12552
114100 | 54461 | 12684
114200 | 54450 | 12674
114300 | 53412 | 10977
114400 | 53756 | 11055
114500 | 53889 | 17815
114600 | 60519 | 17793
114700 | 54559 | 16788
114800 | 58139 | 14315
114900 | 54359 | 13637
115000 | 55759 | 13692
115100 | 55335 | 12961
115200 | 55521 | 11212
115300 | 56524 | 10828
115400 | 56188 | 18577
115500 | 57305 | 27277
115600 | 57178 | 17802
115700 | 56471 | 13725
115800 | 56641 | 12803
115900 | 54509 | 11617
116000 | 55989 | 13152
116100 | 54421 | 12801
116200 | 55859 | 13320
116300 | 54128 | 12176
116400 | 56747 | 17555
116500 | 60913 | 13100
116600 | 56070 | 13109
116700 | 55351 | 13765
116800 | 54705 | 11579
116900 | 57570 | 10958
117000 | 57194 | 12940
117100 | 57111 | 18574
117200 | 61269 | 15283
117300 | 55796 | 12444
117400 | 56083 | 12914
117500 | 60303 | 13416
117600 | 55768 | 13049
117700 | 58695 | 13094
117800 | 60080 | 12391
117900 | 58097 | 12933
118000 | 57287 | 11960
118100 | 59166 | 12604
118200 | 56175 | 12086
118300 | 58219 | 18929
118400 | 60999 | 18497
118500 | 57460 | 19090
118600 | 56355 | 15428
118700 | 55613 | 13012
118800 | 56727 | 14047
118900 | 56578 | 13954
119000 | 58391 | 18727
119100 | 64925 | 17807
119200 | 56474 | 15333
119300 | 61942 | 13668
119400 | 58237 | 13228
119500 | 56683 | 10973
119600 | 56703 | 13142
119700 | 58771 | 19046
119800 | 60575 | 14206
119900 | 55393 | 13584
