Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
25300 | 10864 | 2160
25400 | 11222 | 2541
25500 | 10849 | 2489
25600 | 11455 | 2383
25700 | 11128 | 2093
25800 | 11390 | 2409
25900 | 10924 | 2607
26000 | 11496 | 2305
26100 | 11215 | 2099
26200 | 11244 | 1933
26300 | 11397 | 2253
26400 | 11387 | 2525
26500 | 11228 | 2134
26600 | 11481 | 2219
26700 | 11896 | 2375
26800 | 11521 | 2276
26900 | 11467 | 2273
27000 | 11690 | 2277
27100 | 11485 | 2225
27200 | 11522 | 2350
27300 | 11826 | 2414
27400 | 11452 | 2488
27500 | 11973 | 2254
27600 | 12606 | 2498
27700 | 11740 | 2404
27800 | 12333 | 2307
27900 | 12444 | 2356
28000 | 12355 | 2468
28100 | 12516 | 2589
28200 | 12330 | 2978
28300 | 12467 | 2546
28400 | 12504 | 2696
28500 | 12237 | 3100
28600 | 12798 | 2939
28700 | 12455 | 2548
28800 | 12723 | 2969
28900 | 13086 | 2972
29000 | 12644 | 2940
29100 | 12945 | 2954
29200 | 13008 | 3065
29300 | 12649 | 3475
29400 | 12561 | 3152
29500 | 13103 | 3034
29600 | 13394 | 2895
29700 | 13000 | 3010
29800 | 13169 | 3297
29900 | 13281 | 2829
30000 | 13006 | 3253
30100 | 13357 | 2826
30200 | 13442 | 3140
30300 | 13438 | 2887
30400 | 13476 | 3168
30500 | 13624 | 3400
30600 | 13511 | 2854
30700 | 13879 | 3105
30800 | 13675 | 3089
30900 | 13502 | 3114
31000 | 13245 | 3250
31100 | 13719 | 2931
31200 | 13762 | 3718
31300 | 13771 | 3034
31400 | 14332 | 3416
31500 | 14634 | 3146
31600 | 13666 | 3380
31700 | 14315 | 3380
31800 | 13303 | 3070
31900 | 13951 | 3154
32000 | 14150 | 3257
32100 | 13838 | 3362
32200 | 14054 | 3259
32300 | 13926 | 3101
32400 | 14117 | 3608
32500 | 14355 | 3356
32600 | 14612 | 3352
32700 | 14648 | 3362
32800 | 14290 | 2986
32900 | 15008 | 3794
33000 | 14928 | 3100
33100 | 14389 | 3616
33200 | 14251 | 3143
33300 | 14887 | 3176
33400 | 14733 | 4776
33500 | 18924 | 4078
33600 | 15967 | 3669
33700 | 15032 | 3056
33800 | 15084 | 2827
33900 | 14536 | 3644
34000 | 14975 | 3112
34100 | 16103 | 3222
34200 | 15265 | 2684
34300 | 14981 | 3079
34400 | 15794 | 3331
34500 | 15064 | 3116
34600 | 15284 | 3136
34700 | 15485 | 2482
34800 | 15887 | 2560
34900 | 15947 | 3131
35000 | 15279 | 3017
35100 | 15733 | 3057
35200 | 15559 | 2940
35300 | 15423 | 2876
35400 | 16062 | 2780
35500 | 15661 | 3259
35600 | 15991 | 2828
35700 | 15650 | 2595
35800 | 15932 | 3337
35900 | 16026 | 3160
36000 | 15637 | 2890
36100 | 16089 | 3259
36200 | 16051 | 2963
36300 | 16077 | 3540
36400 | 15559 | 2951
36500 | 16379 | 2892
36600 | 16162 | 2976
36700 | 15977 | 3142
36800 | 16176 | 3905
36900 | 16255 | 2973
37000 | 16362 | 3384
37100 | 16981 | 3763
37200 | 23664 | 4033
37300 | 21094 | 5991
37400 | 16940 | 3389
37500 | 16683 | 3454
37600 | 16607 | 3564
37700 | 16823 | 3413
37800 | 17283 | 3350
37900 | 16981 | 3619
38000 | 17322 | 3603
38100 | 18701 | 3723
38200 | 17219 | 3211
38300 | 16591 | 3931
38400 | 17074 | 3454
38500 | 16615 | 3628
38600 | 20389 | 5936
38700 | 20377 | 4268
38800 | 18703 | 3927
38900 | 17887 | 4193
39000 | 17798 | 3691
39100 | 17929 | 3367
39200 | 18109 | 3974
39300 | 17950 | 3413
39400 | 17512 | 3178
39500 | 17141 | 3699
39600 | 17085 | 3726
39700 | 18140 | 3967
39800 | 17632 | 3753
39900 | 18327 | 3661
40000 | 18001 | 4207
40100 | 17940 | 3479
40200 | 18276 | 3716
40300 | 18602 | 3284
40400 | 17692 | 3911
40500 | 18418 | 3356
40600 | 17988 | 3363
40700 | 18632 | 3810
